Date,Open,High,Low,Close
1-August-2018,14234.52,14373.96,14223.86,14363.28,
2-August-2018,14386.02,14631.10,14377.55,14511.47,
3-August-2018,14570.41,14726.25,14570.41,14674.96,
6-August-2018,14708.96,14810.55,14593.27,14613.57,
7-August-2018,14669.70,14680.72,14502.01,14551.16,
8-August-2018,14577.80,14665.51,14463.89,14502.82,
9-August-2018,14555.69,14660.66,14381.68,14403.41,
10-August-2018,14379.91,14446.32,14229.46,14253.90,
13-August-2018,14251.42,14402.78,14215.18,14332.07,
14-August-2018,14352.96,14721.54,14300.36,14686.98,
16-August-2018,14729.84,14846.59,14690.87,14827.81,
17-August-2018,14902.52,15082.95,14900.60,15013.62,
20-August-2018,15061.72,15202.14,15057.05,15131.94,
21-August-2018,15157.94,15356.73,15063.47,15302.05,
23-August-2018,15357.29,15539.61,15351.76,15425.86,
24-August-2018,15443.75,15506.82,15259.49,15480.86,
27-August-2018,15547.49,15603.69,15494.77,15556.32,
28-August-2018,15593.12,15742.33,15513.33,15533.10,
29-August-2018,15560.07,15675.21,15440.13,15473.48,
30-August-2018,15535.14,15637.74,15479.72,15605.63,
31-August-2018,15671.08,15990.31,15660.99,15945.17,
3-September-2018,16021.33,16220.33,15901.12,15942.15,
4-September-2018,15959.27,16016.82,15609.93,15716.15,
5-September-2018,15722.57,15920.74,15644.51,15819.51,
6-September-2018,15868.02,16185.39,15863.05,16167.32,
7-September-2018,16069.43,16362.98,15932.95,16311.12,
10-September-2018,16318.86,16496.76,16028.54,16066.11,
11-September-2018,16130.20,16227.37,15778.00,15811.36,
12-September-2018,15786.13,15957.03,15642.65,15932.07,
14-September-2018,16066.45,16258.24,16061.55,16236.47,
17-September-2018,16244.16,16353.28,16032.92,16061.85,
18-September-2018,16100.79,16221.12,15912.21,15945.56,
19-September-2018,16038.29,16148.59,15718.32,15852.26,
21-September-2018,15951.08,16043.40,14947.76,15588.83,
24-September-2018,15631.89,15696.71,15127.15,15166.59,
25-September-2018,15196.21,15483.77,15125.51,15432.37,
26-September-2018,15537.58,15692.66,15433.67,15494.05,
27-September-2018,15528.19,15558.41,15218.47,15236.20,
28-September-2018,15287.30,15371.84,14930.24,15025.34,
1-October-2018,15053.98,15112.14,14751.51,15059.17,
3-October-2018,15113.02,15205.96,14981.22,15002.67,
4-October-2018,14946.45,14946.57,14409.22,14549.78,
5-October-2018,14533.37,14723.70,14353.21,14400.52,
8-October-2018,14368.82,14490.27,14128.38,14270.80,
9-October-2018,14315.02,14527.13,14172.30,14413.95,
10-October-2018,14475.15,14709.86,14469.52,14673.08,
11-October-2018,14480.47,14613.15,14277.77,14349.77,
12-October-2018,14413.60,14598.24,14348.20,14454.65,
15-October-2018,14527.49,14805.88,14477.30,14775.12,
16-October-2018,14829.64,14934.59,14756.23,14872.55,
17-October-2018,14927.46,14999.43,14610.26,14640.12,
19-October-2018,14631.18,14761.50,14431.73,14549.60,
22-October-2018,14614.45,14686.00,14498.90,14517.15,
23-October-2018,14488.56,14511.79,14133.72,14176.76,
24-October-2018,14264.73,14330.17,14004.19,14134.69,
25-October-2018,14072.65,14118.40,13877.13,13909.38,
26-October-2018,13969.32,13987.37,13739.51,13875.50,
29-October-2018,13949.47,14492.36,13946.87,14460.19,
30-October-2018,14508.42,14539.97,14375.18,14436.02,
31-October-2018,14407.71,14743.95,14375.52,14726.58,
1-November-2018,14768.78,14830.47,14613.22,14632.90,
2-November-2018,14695.81,14758.79,14534.13,14562.81,
5-November-2018,14610.22,14708.35,14371.27,14469.91,
6-November-2018,14467.88,14517.32,14380.07,14441.86,
7-November-2018,14517.64,14553.66,14495.83,14535.57,
9-November-2018,14575.64,14732.59,14524.99,14692.79,
12-November-2018,14728.26,14813.08,14563.02,14587.67,
13-November-2018,14636.03,14636.03,14344.33,14469.69,
14-November-2018,14481.62,14508.28,14169.30,14231.10,
15-November-2018,14254.22,14341.45,14195.60,14276.62,
16-November-2018,14322.97,14441.63,14284.35,14348.76,
19-November-2018,14459.91,14496.00,14379.29,14460.81,
20-November-2018,14457.12,14459.85,14210.10,14234.46,
21-November-2018,14339.97,14439.50,14312.79,14382.60,
22-November-2018,14409.01,14416.40,14291.21,14302.95,
26-November-2018,14350.52,14376.69,14098.54,14178.49,
27-November-2018,14247.05,14298.96,13986.71,14050.98,
28-November-2018,14015.92,14074.88,13935.12,13983.38,
29-November-2018,14023.78,14131.96,14002.11,14081.84,
30-November-2018,14103.89,14344.04,14103.89,14332.65,
3-December-2018,14268.08,14268.08,14067.21,14158.78,
4-December-2018,14181.62,14291.90,14144.95,14159.63,
5-December-2018,14153.11,14173.49,13767.86,13875.45,
6-December-2018,13871.86,13907.24,13642.99,13677.43,
7-December-2018,13704.89,13818.12,13616.64,13657.75,
10-December-2018,13564.00,13564.00,13412.21,13444.95,
11-December-2018,13351.12,13749.22,13324.86,13704.65,
12-December-2018,13735.47,13850.18,13704.57,13828.12,
13-December-2018,13839.98,13940.24,13773.62,13854.89,
14-December-2018,13877.31,13923.99,13672.40,13742.69,
17-December-2018,13777.42,13865.77,13757.22,13789.50,
18-December-2018,13787.33,13865.86,13726.76,13854.41,
19-December-2018,13875.00,13935.51,13856.70,13875.06,
20-December-2018,13846.50,13954.04,13822.35,13901.90,
21-December-2018,13927.04,13975.52,13731.93,13763.77,
24-December-2018,13794.41,13878.80,13687.59,13717.61,
26-December-2018,13715.82,13715.82,13476.05,13671.08,
27-December-2018,13758.77,13789.73,13638.92,13656.04,
28-December-2018,13686.97,13853.77,13682.48,13830.29,
31-December-2018,13879.06,13947.02,13844.85,13923.37,
